"model","names","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %"
"full_all_ptb","acres_ag_land_per_sqr_mile","-0.00117356203820354","0.000364450864097256","-3.22008301752955","0.00129755012062889","-0.00188787260596867","-0.000459251470438411"
"full_all_ptb","all_wells","0.651814315553767","0.159315521876894","4.0913421860893","4.42117743533805e-05","0.339561630496852","0.964067000610683"
"full_all_ptb","asian","-0.0250020699471249","0.0240163278765635","-1.04104466243248","0.297952972602405","-0.072073207626093","0.0220690677318454"
"full_all_ptb","ba","-0.0327863984615929","0.00639753508823565","-5.12484855642033","3.19951227435429e-07","-0.0453253368243661","-0.0202474600988201"
"full_all_ptb","black","0.0620005237858588","0.0133009707816855","4.66135328041086","3.30217725075345e-06","0.0359311000943353","0.0880699474773821"
"full_all_ptb","drug_death_per_100000","-0.00143095612229194","0.000563476314789188","-2.5395142346441","0.0111592476715259","-0.00253534940542011","-0.000326562839163768"
"full_all_ptb","fertilizer_per_sqr_mile","-0.00271007428249851","0.00139240563641575","-1.94632527449015","0.0517247769107796","-0.00543913918174396","1.89906167469351e-05"
"full_all_ptb","herbicide_per_sqr_mile","0.00113174511768123","0.00115397965292857","0.980732298710017","0.326817299869123","-0.00113001344095082","0.00339350367631328"
"full_all_ptb","hispanic","-0.00902202629939696","0.00401979726708293","-2.24439833652209","0.0248917548756759","-0.0169006841680321","-0.00114336843076174"
"full_all_ptb","hs","-0.0284227862904121","0.0109349618845282","-2.59925792065423","0.00939612169374512","-0.0498549177564048","-0.0069906548244182"
"full_all_ptb","insecticide_per_sqr_mile","0.00178074264009023","0.000950600040886916","1.87328273037816","0.0611430346158028","-8.23992037504369e-05","0.0036438844839309"
"full_all_ptb","insured","0.00307286001689069","0.0096496255704029","0.318443445755625","0.750174522896664","-0.015840058565396","0.0219857785991765"
"full_all_ptb","marital","-0.0170794725136402","0.00845428762911301","-2.0202142703101","0.0434649636182115","-0.0336495717816438","-0.000509373245636089"
"full_all_ptb","maternal_care_code","-0.175395800722325","0.0783917383322599","-2.23742711226683","0.0253440332021777","-0.32904078453905","-0.0217508169056189"
"full_all_ptb","multiracial","0.0257308402953385","0.0255867545322261","1.00563126374355","0.31468787204903","-0.0244182770690943","0.0758799576597693"
"full_all_ptb","native","0.0222677200799505","0.0145327170378232","1.53224755026854","0.125584726826594","-0.0062158819116949","0.0507513220715958"
"full_all_ptb","pacific","0.103814384323602","0.0966386432502403","1.07425333005535","0.282810239927632","-0.0855938759616857","0.293222644608896"
"full_all_ptb","pop_per_sqr_mile","0.000138678968765146","8.29314108475269e-05","1.67221282440393","0.0946043722084911","-2.38636096831025e-05","0.000301221547213394"
"full_all_ptb","poverty","0.0563813287003639","0.0096568317145494","5.83849137760342","5.93220821688641e-09","0.0374542863350828","0.0753083710656452"
"full_all_ptb","white","0.01137548897973","0.0125659877446764","0.90526023189457","0.365412593440862","-0.0132533944300075","0.0360043723894677"
"full_hor_ptb","acres_ag_land_per_sqr_mile","-0.00115515673421946","0.000364549959743297","-3.16871996099761","0.0015491473929883","-0.00186966152588186","-0.000440651942557119"
"full_hor_ptb","all_hormone_wells","1.64883918543084","0.386284938505002","4.26845320920917","2.03984503737927e-05","0.891734618190793","2.40594375267093"
"full_hor_ptb","asian","-0.0224673457016504","0.0240618509191765","-0.933733060566206","0.350529528365658","-0.0696277069046069","0.0246930155013079"
"full_hor_ptb","ba","-0.0329608678053575","0.00639329109747866","-5.15553997194909","2.72187712230547e-07","-0.0454914880990964","-0.0204302475116186"
"full_hor_ptb","black","0.0640073710237212","0.0133529577775881","4.79349759730031","1.73262792154916e-06","0.0378360546925652","0.0901786873548784"
"full_hor_ptb","drug_death_per_100000","-0.00148009489973511","0.00056286577768335","-2.62956988756166","0.00860038562542873","-0.00258329155212458","-0.000376898247345603"
"full_hor_ptb","fertilizer_per_sqr_mile","-0.00274016429520569","0.00139190939523828","-1.96863697061014","0.0491023554059297","-0.0054682565796157","-1.20720107957986e-05"
"full_hor_ptb","herbicide_per_sqr_mile","0.00112909046267183","0.00115363843371455","0.978721261076853","0.327810058559917","-0.00113199931858983","0.00339018024393349"
"full_hor_ptb","hispanic","-0.00895452708648167","0.00401681604569494","-2.22925993737721","0.0258829384508082","-0.0168273418685661","-0.00108171230439682"
"full_hor_ptb","hs","-0.0285767273714256","0.0109325630359768","-2.6139092248895","0.00900364454633683","-0.0500041571806534","-0.00714929756219701"
"full_hor_ptb","insecticide_per_sqr_mile","0.00178793330023602","0.000950322794441852","1.88139578540376","0.0600313078819338","-7.46651505574239e-05","0.00365053175102954"
"full_hor_ptb","insured","0.00363071087766811","0.0096542333150902","0.376074490761795","0.706892631683056","-0.0152912387182558","0.022552660473591"
"full_hor_ptb","marital","-0.0171882564855806","0.00845166903908869","-2.03371149604718","0.0420834590357485","-0.0337532234114462","-0.000623289559715109"
"full_hor_ptb","maternal_care_code","-0.178378845788591","0.0783242872268703","-2.2774397585248","0.0228419783998441","-0.33189162786803","-0.024866063709159"
"full_hor_ptb","multiracial","0.0272016619005224","0.025595567049974","1.06274894583943","0.287995900596846","-0.0229647276813074","0.0773680514823505"
"full_hor_ptb","native","0.0244799587460413","0.0145884134219937","1.67804119871835","0.0934609258371837","-0.00411280615264601","0.05307272364473"
"full_hor_ptb","pacific","0.105967623908146","0.0966224515878083","1.09671843517492","0.272867486999155","-0.0834089013019189","0.295344149118217"
"full_hor_ptb","pop_per_sqr_mile","0.000141123969730289","8.29131666889287e-05","1.70206947057943","0.0888635688148983","-2.13828508241737e-05","0.000303630790284757"
