fips,preterm,lbw,pop_per_sqr_mile,white,black,native,asian,pacific,multiracial,hispanic,poverty,hs,ba,marital,drug_death_per_100000,insured,fertilizer_per_sqr_mile,insecticide_per_sqr_mile,herbicide_per_sqr_mile,acres_ag_land_per_sqr_mile,all_wells,all_hormone_wells,all_est_wells,all_test_wells,all_wells_2014to2018,all_hormone_wells_2014to2018,all_est_wells_2014to2018,all_test_wells_2014to2018,required_report,no_report_but_resources,"Metro-nonmetro status, 2013 0=Nonmetro 1=Metro",Economic Types Type_2015_Update non-overlapping,total_area,maternal_care_code
35025,10.3,8.8,15.96869202,88.6,3.9,0.9,0.2,0,2,57.9,16.6,72.9,13,49.7,127.4,85.9,10.04083373,2.517381431,10.3257043,71.63208294,0.345416384,0.103306349,0.070994672,0.07190486,0.218900238,0.073042595,0.056431662,0.049377704,TRUE,FALSE,0,2,4394.696,1
35027,8.5,8.9,4.032609449,93.6,0.9,1.7,0.5,0,2.4,32.7,16.2,91.5,29.3,53.5,237.9,89.8,0.654921276,0.006830721,0.235349397,12.03241902,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,4831.329,1
35028,8.2,8.6,168.0952381,85.5,0.2,1.1,5.4,0,4.7,17.6,5.3,97.8,66.5,61.9,77.6,96.2,NA,NA,NA,NA,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,109.287,1
35029,7.3,8.1,8.182803231,91.5,1.4,1,0.7,0,1.7,66.6,30.2,68.6,12.2,41.5,155.3,90.2,6.828108185,6.39037003,6.380590056,62.39623532,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,2965.41,1
35031,10.3,8.4,13.36512387,15,0.7,76.7,1,0,2.8,14.3,36,75.4,11.6,32.1,55.3,79.1,0.088062423,0.021098289,NA,38.09305226,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,5455.963,1
35033,NA,NA,2.368852625,58.8,0,0.1,0,0,0.8,81.1,19.3,91.6,11.2,33.5,180.2,93.8,2.974693303,NA,0.349902842,152.5778858,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,1928.602,0
35035,8.3,7.6,9.942439859,78.4,3.6,6.7,1.4,0.2,3.4,38,21.2,83.5,19,48.8,179,89.7,0.812090684,0.140338949,0.451867219,22.41340043,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,6626.826,1
35037,10.4,6.5,2.913474707,90.2,1.5,1.9,1.1,0.2,1.3,45.2,22.1,82.8,15.8,37.7,300.9,92.8,9.867468739,0.345176987,28.22865748,60.72609649,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2881.119,0
35039,11,13.1,6.70668119,54.4,0.6,16.3,0.5,0,2.3,71.4,NA,86.2,18.5,37.7,206.1,89.4,0.556231223,0.604517553,0.562885523,50.08725664,0.058512381,0.019504127,0.002883219,0.005936039,0.016790509,0.010006465,0.000678404,0.002544017,TRUE,FALSE,0,0,5896.188,1
35041,9,7.5,7.815454379,74.4,2.7,0.5,0.6,0,4.7,41.5,25.6,80.9,25.1,43.1,155.3,86.4,31.72174251,22.36829894,59.71134698,203.4818571,0.00040762,0,0,0,0,0,0,0,TRUE,FALSE,0,1,2453.263,0
35047,9.5,11.6,5.937500993,55.3,1.3,1.3,1.3,0.2,3.7,77.6,27.7,81.2,22.7,32.5,240.5,92.7,1.303606999,0.015672935,0.105262823,65.19157516,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,4741.353,1
35051,10,8.8,2.663113616,89.9,0.6,3.4,0.6,0,2.8,30.3,24.9,84.7,20.5,43.6,461.7,93.6,1.516312557,0.897829234,1.608869807,15.39200745,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,4238.214,0
35053,11.3,8.4,2.557780641,78.3,0.4,11.3,3,0,4,49.7,29.1,79.1,21.2,38.2,182.1,88,1.697012226,1.179738706,0.99362255,9.816009811,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,6648.257,1
35055,10.4,11.8,14.93298365,85.2,0.5,7.2,0.2,0,1.8,57,19.4,89.1,28,38.6,134.2,89.2,0.574834508,0.049038015,0.053124516,54.41358026,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,2203.679,1
35059,10.1,7.5,1.091485291,84.9,2,2.2,0,0,3.8,41.8,14.1,80,12.7,42.6,185.8,84.8,4.526984261,2.136958267,9.698663787,124.362919,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,3831.035,0
37005,9.7,8.2,46.8125408,94.3,2.4,0.3,0.3,0,0.8,9.6,24.6,76.6,16.7,56.6,263,88.8,81.37267868,36.65482097,53.76211055,NA,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,235.837,0
37007,13.2,13,47.61591161,47.7,48.7,0.4,1.3,0,1.1,3.9,19.8,80.5,9.6,42.7,147.4,87.8,43.36536453,29.3737452,56.22425728,4.370969836,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,537.099,0
37009,10.5,8.7,63.01683758,95.1,0.7,0.4,0.4,0.1,1.5,5,18,84.2,19,56.7,246.4,88.1,68.55486624,29.84512811,42.89266717,10.57024756,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,428.186,1
37011,12.9,11.6,70.75742506,91.5,4.5,1.4,0.9,0,1.3,5.1,14.4,82.3,20.6,54.9,179.5,85,25.60463819,20.51848078,20.57912654,5.04168385,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,247.51,1
37013,11.5,10.9,56.78429468,71.4,25.5,0.2,0.1,0,2.1,7.6,19.2,87.6,19.4,47.1,301.4,89.6,104.7846505,104.6151738,129.0378414,25.13663304,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,962.848,1
37015,11.7,12.3,28.09593007,34.8,61.1,1.2,0.6,0,1.5,2.1,23,78.7,13.4,37.2,231.7,89.6,110.9763493,123.9587743,144.9234528,31.196723,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,741.295,0
37017,11.7,11.2,38.60942958,57.1,35,2.5,0.1,0,1.1,7.5,26,80.1,15.1,40.3,249.7,86,58.86286326,59.90188189,72.23522742,72.42611423,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,887.61,0
37029,9.5,6.2,43.46957712,82.5,14,0.2,1.8,0,1.3,2.8,11.2,85.6,17.9,56.9,156.6,91.9,188.1878591,173.1917496,222.4242601,NA,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,310.257,1
37031,9.5,7.1,135.7743294,89.9,5.6,0.3,1.1,0.1,2.6,4.3,11.6,91.1,28.4,50.7,231.6,88.6,83.13715138,NA,86.42118805,2.482235273,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,1330.412,1
37033,12.2,12,53.47394949,63.2,33,0.2,0.7,0.2,1.1,3.8,19.6,79.5,15.5,52.4,212.6,91,41.06110973,14.99649713,33.00686938,39.58238317,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,428.703,0
37039,12.7,8.8,60.73710807,93.6,1.3,1.6,0.7,0,2.2,3.1,16.5,86.3,19.2,54.3,240.8,86,14.64864544,1.442253867,9.790642692,1.279808226,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,466.666,1
37041,11.9,10.3,82.27294578,60.6,34.1,0.4,0.5,0,1.7,3.6,19.6,84,19.8,45.5,275.6,88.1,191.2578117,214.7089316,242.1564142,127.3970937,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,233.648,1
37043,12.5,8.1,50.29700023,96.8,2.1,0.3,0.2,0.1,0.4,3.1,15.8,88.5,22.8,57.9,244.4,85.4,15.84311318,1.465232135,14.79651879,3.130480084,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,220.781,1
37045,11.5,11,209.301023,74.9,20.8,0.3,1,0,1.4,3.4,20.2,84,17.4,44.4,170.1,87.7,87.39204708,14.543081,78.52746727,7.352323425,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,468.145,1
37047,11.7,11.9,60.00643844,62,30.9,3.8,0.4,0,1,5.2,23.8,81.6,13.1,42.4,175.3,86.3,83.06968435,76.14196965,104.68748,15.04398177,0.003141368,0,0,0,0.003141368,0,0,0,TRUE,FALSE,0,0,954.998,1
37055,9.4,6.2,93.26374845,92.6,2.2,0.3,0.6,0,2.7,7.2,8.2,93.3,33,55.4,166.7,85.1,5.978211234,NA,7.376867376,0.861112923,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,1541.733,1
37061,9.9,8.9,72.49201584,70.6,24.5,0.4,0.3,0.1,1.6,21.9,24.1,74.2,11.1,45.2,149.4,82.1,112.8325916,121.4967266,162.0263201,69.22348043,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,820.218,1
37075,10.1,6.6,29.3083075,87.8,0.2,10.5,0,0,1,1.5,18.1,81,13.5,50.9,233.4,82.9,2.71950405,0.202079016,1.363177093,0.46238419,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,301.641,0
