fips,preterm,lbw,pop_per_sqr_mile,white,black,native,asian,pacific,multiracial,hispanic,poverty,hs,ba,marital,drug_death_per_100000,insured,fertilizer_per_sqr_mile,insecticide_per_sqr_mile,herbicide_per_sqr_mile,acres_ag_land_per_sqr_mile,all_wells,all_hormone_wells,all_est_wells,all_test_wells,all_wells_2014to2018,all_hormone_wells_2014to2018,all_est_wells_2014to2018,all_test_wells_2014to2018,required_report,no_report_but_resources,"Metro-nonmetro status, 2013 0=Nonmetro 1=Metro",Economic Types Type_2015_Update non-overlapping,total_area,maternal_care_code
21215,10.8,7.7,97.71746232,96.3,1.2,0.2,0.7,0,1.4,2.1,8.4,89.8,20.2,64.9,162.4,96.3,118.4595281,25.28357665,86.62075171,7.803044098,0,0,0,0,0,0,0,0,TRUE,FALSE,1,1,191.661,1
21219,10.8,9.3,32.97712696,87.8,8,0,0,0,1.8,3.9,18,77.8,12.9,55.1,171.2,84.7,250.4285691,204.9735382,268.0760049,49.05714789,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,377.056,1
21223,9.9,8.9,56.9542625,96.4,0,0.3,0.1,0.5,1.7,3,19,84.1,12,51.3,217.3,94.8,115.5900506,3.705950622,91.51456003,NA,0,0,0,0,0,0,0,0,TRUE,FALSE,1,1,156.217,0
21225,20.2,12.7,43.17264391,83.3,12.9,0,0.6,0,2.9,1.9,22.2,87.4,11,50.9,312.4,94,371.6224887,336.496955,466.1257204,101.8532562,0,0,0,0,0,0,0,0,TRUE,FALSE,0,2,363.377,1
21233,16.9,11.6,39.61168206,90.9,4.1,0.1,0,0.1,2.6,5.5,22.1,81.4,9.8,54.5,288.5,92.9,243.9844745,192.6112394,305.243316,26.26024167,0,0,0,0,0,0,0,0,TRUE,FALSE,0,2,335.656,0
22027,17.4,16.1,21.3981597,45.8,52,0.2,0.1,0,1.4,1.5,30.5,81.2,14.7,42.9,148.6,88.1,8.597415741,11.0799361,16.87954875,12.2549604,0.03387993,0.011727668,0.009121519,0.011727668,0.029970707,0.010424594,0.009121519,0.009121519,TRUE,FALSE,0,2,767.416,1
22031,17.2,11.2,31.05417136,60.1,35.7,1.1,0.2,0.1,2.2,2.9,24.9,82.4,14.2,43.3,122.7,88.2,33.16735204,6.805080762,22.62084609,1.279090465,1.145800613,0.18109239,0.03688919,0.14979247,0.478441622,0.11290328,0.020121377,0.096135466,TRUE,FALSE,1,2,894.571,0
22035,19.6,16,17.17343145,29.1,69.9,0,0,0,0.8,0.4,48.6,68.5,8.5,31.3,182.2,88.7,278.801449,400.8766175,416.9447693,447.1842703,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,442.432,0
22045,13.5,10.8,126.6188579,61.1,31.7,0.1,2.7,0,2.7,4.2,21.6,78.7,12.7,43.2,97.7,88.4,118.0017872,54.85348193,111.3530386,10.7648064,0,0,0,0,0,0,0,0,TRUE,FALSE,1,2,1030.528,1
22055,11.3,9.1,893.38513,69.7,25.9,0.2,1.8,0,1.8,4.6,16.5,87.5,32.1,42.4,84.7,89.2,63.94213059,37.83168306,42.43459365,48.19102265,0,0,0,0,0,0,0,0,TRUE,FALSE,1,2,269.21,1
