fips,preterm,lbw,pop_per_sqr_mile,white,black,native,asian,pacific,multiracial,hispanic,poverty,hs,ba,marital,drug_death_per_100000,insured,fertilizer_per_sqr_mile,insecticide_per_sqr_mile,herbicide_per_sqr_mile,acres_ag_land_per_sqr_mile,all_wells,all_hormone_wells,all_est_wells,all_test_wells,all_wells_2014to2018,all_hormone_wells_2014to2018,all_est_wells_2014to2018,all_test_wells_2014to2018,required_report,no_report_but_resources,"Metro-nonmetro status, 2013 0=Nonmetro 1=Metro",Economic Types Type_2015_Update non-overlapping,total_area,maternal_care_code
48247,11.3,8,4.648939906,98.9,0.1,0,0,0,0.5,92.6,27.4,74.2,12.3,39.3,99.8,81.2,6.396032998,0.028164725,2.349994235,2.253177993,0.013201797,0.007040958,0.006160838,0,0.006160838,0.004400599,0.003520479,0,TRUE,FALSE,0,4,1136.209,0
48249,10.6,10.3,47.61145208,95.5,0.6,0.1,0.6,0.2,0.6,80.3,23,74.6,12.7,43.2,84.2,81.6,130.596299,95.50608551,138.3820521,32.30925714,0.002302704,0,0,0,0.001151352,0,0,0,TRUE,FALSE,0,2,868.544,1
48251,8.9,6.7,225.5449779,90.9,3.1,0.5,0.9,0.4,2.3,20.8,10.6,84.8,18.3,55.8,161.1,83.9,118.6258278,37.45309051,127.5855408,12.49724062,0.483352259,0.055823782,0.001361556,0.051739115,0.03131578,0.012254001,0,0.019061779,TRUE,FALSE,1,0,734.454,1
48253,12.1,7.2,21.42110988,67.5,14.8,0.8,0.4,0,6.6,27.4,14.3,78.4,11.5,64,148.4,86.1,131.7165103,68.62056711,171.9719569,51.95084916,0.009603719,0.00106708,0.004268319,0.00106708,0.004268319,0.00106708,0.00213416,0.00106708,TRUE,FALSE,1,4,937.137,0
48255,13.4,8.1,20.584698,72.6,8,0.2,0.1,0,2.5,54,18.6,76.2,14.4,47.5,93.5,86.1,104.7897182,35.83960872,144.5704799,17.12916574,4.050173313,1.958733883,0.690068848,1.200985206,2.476285519,1.470377468,0.544092745,0.919649445,TRUE,FALSE,0,4,753.548,0
48257,10.3,8.2,152.3169052,82,10.9,0.4,1.2,0.1,2.6,20.6,13,86.2,20.7,50,121.9,84.9,118.9906171,40.18701764,118.3706408,13.96868095,0,0,0,0,0,0,0,0,TRUE,FALSE,1,0,807.611,1
48259,11.3,7.1,63.37345687,90.2,0.8,0.6,0.9,0.1,3.9,23.6,5.3,93.1,40.9,55.7,123.4,90.8,23.30275008,1.542748629,14.28778451,15.76713251,0,0,0,0,0,0,0,0,TRUE,FALSE,1,0,663.032,1
48261,NA,NA,0.407966523,96.3,0,0,0.2,0,0,87.7,7.1,33.7,6.8,38.2,NA,78.5,4.936737763,NA,NA,38.5367235,0.011306433,0.001541786,0.001027858,0.000513929,0.005139288,0.001541786,0.001027858,0.000513929,TRUE,FALSE,0,2,1945.795,0
48263,NA,NA,0.829910461,88.5,1.1,1.9,0,0,0.8,16.3,10.9,81.3,23.6,43.2,NA,94.5,10.46861686,1.816052396,10.86196561,NA,0.006645122,0.00110752,0.00110752,0.00110752,0,0,0,0,TRUE,FALSE,0,1,902.918,0
48265,11.2,9.1,46.55469009,89.4,1.5,0.8,0.9,0.1,2.2,26.7,13.3,88.5,25.6,50.2,320.1,84.1,10.38768234,0.746832758,7.007901563,13.25628146,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,1107.283,1
48267,11.4,6.8,3.523623385,89.1,0,0.8,0,0.1,3.1,25.3,21.3,84.3,22.1,52.9,267.9,77,6.948924248,0.987222069,26.56466704,73.48449422,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,1251.176,0
48269,NA,NA,0.250309593,99.1,0,0,0,0,0,16.7,8.8,85.5,18.2,49.4,NA,92.1,9.409664585,0.911214748,3.516410648,NA,0.09196993,0.024087363,0.031751524,0.074451848,0.061313287,0.00328464,0.029561763,0.052554246,TRUE,FALSE,0,1,913.342,0
48271,14,8.9,2.702096606,96.7,0.1,0.2,0,0,0,62.5,18.6,73.4,9.6,43,NA,85.4,3.5733849,0.783056568,1.75654661,58.77850528,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,1365.123,0
48273,11.5,8.3,35.65730859,87.7,3.3,0.2,2.2,0,2.5,72.7,26.1,79.2,24.8,38.5,90.5,82.7,75.64342011,68.10574307,73.18570394,NA,0.048614799,0.001834521,0,0.00091726,0.011924385,0.00091726,0,0.00091726,TRUE,FALSE,0,4,1090.203,1
48275,10.6,7.6,4.38853784,85.1,6.5,0.8,0.1,0,2.4,34,14.7,80.5,19.6,55.8,243.6,84.2,95.70609846,51.1247612,104.8628949,85.33607641,0.002337866,0.001168933,0,0.001168933,0.001168933,0.001168933,0,0.001168933,TRUE,FALSE,0,2,855.481,0
48277,10.2,7.9,54.59990895,81.3,12.4,0.4,0.9,0.3,4.1,7.7,17.8,84.6,17.6,49.8,226.5,82.8,109.0322659,49.79160719,185.4635404,29.39876386,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,933.103,1
48279,9.2,8.1,13.05082461,87.9,5,0.3,0.6,0,2.5,55.2,23.6,74.1,15.9,47.8,150.1,77,257.1933543,128.7654463,316.7988774,351.4619935,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,1017.715,1
48281,8.3,6.1,28.9545635,88.3,4.4,0.3,1.1,0.4,3.6,19.5,11.3,90.6,20,58.9,183.1,85.2,30.92274434,5.196109651,22.86204076,2.431117178,0,0,0,0,0,0,0,0,TRUE,FALSE,1,0,713.935,1
48283,11.7,10.3,4.983507141,77.8,1.4,0,0.2,0,3.9,82.4,12.1,68.3,13.1,50.8,81.9,74.9,7.894644798,0.22802118,4.28868154,47.97054424,1.854461885,0.762932713,0.248287751,0.572199535,0.973743068,0.505944852,0.195417853,0.360050702,TRUE,FALSE,0,2,1494.234,0
48285,10.8,6.5,20.56390113,78.5,6.5,0.2,0.4,0,2.9,18.5,11.7,85.3,16.7,53.8,166.8,88.8,75.96196385,4.899407967,86.79201699,26.8936351,0.246281053,0.130869011,0.042249051,0.097894142,0.161782951,0.10613786,0.021639758,0.080376243,TRUE,FALSE,0,1,970.436,0
48287,9.8,7.9,26.94900165,79.6,11.2,0,1.1,0,0.9,23.4,14.2,83.9,15.9,54.8,176.4,87.3,96.95090932,12.31241257,112.1152868,12.29810505,0.094622299,0.059927456,0.026809651,0.048888188,0.064658571,0.045734111,0.025232613,0.03784892,TRUE,FALSE,0,1,634.1,0
48289,8.9,6.4,15.93244598,88.8,7.2,0.5,0.8,0.3,0.9,14.4,16.6,82.4,16.4,49,240.2,82,63.08588872,14.5579953,89.98598526,7.465829758,0.12862998,0.038866613,0.023134888,0.02498568,0.045344381,0.018507911,0.009253955,0.009253955,TRUE,FALSE,0,2,1080.619,0
48291,11.6,9.1,70.66907807,80.9,9.9,0.5,0.6,0,1.4,23.3,14.9,77.4,9.5,45.9,149.2,81,37.39689309,16.7957976,29.04647419,10.82800623,0.0085009,0.00510054,0.00425045,0.00170018,0.00425045,0.00340036,0.00085009,0.00085009,TRUE,FALSE,1,0,1176.346,1
48293,12.3,10.5,25.97108556,76.1,17.7,1.6,0.8,0.3,0.9,21.7,20.6,81.1,14,47.9,242,79.2,84.13461007,25.91586318,116.8671239,3.033917586,0.066440626,0.01071623,0.006429738,0.008572984,0.031077067,0.006429738,0.006429738,0.006429738,TRUE,FALSE,0,4,933.164,0
48295,9.1,6.9,3.721360329,85.1,0.5,2,1,0,4.2,30.3,11.4,82.2,19.5,55.7,138.4,81,44.08133141,38.58993806,56.686112,208.4251426,0.429045984,0.255282361,0.021452299,0.184489773,0.204869457,0.160892244,0.017161839,0.122278105,TRUE,FALSE,0,2,932.301,0
48297,9,8.4,11.66015033,92.7,2.9,0.2,1,0,1.2,39.4,16.3,79.2,13.2,47.9,120.2,80.8,43.70512506,11.64572302,53.78885154,25.95953621,0.595989537,0.326264879,0.182597106,0.214111327,0.26045577,0.198354216,0.095469553,0.114934219,TRUE,FALSE,0,2,1078.878,0
48299,9.8,8.5,22.09727082,93.4,0.1,0.9,0.4,0,3.4,10.2,11.6,86,25.7,54.5,313.1,83.2,17.1553618,1.657295311,26.67945682,31.65990759,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,965.856,1
48301,NA,NA,0.152507857,97.1,0,2.9,0,0,0,15.7,18.6,77.3,0,67.7,NA,89.2,NA,NA,NA,NA,1.844699372,1.062771513,0.218762425,0.567599807,1.361352661,0.91052469,0.165549944,0.477434212,TRUE,FALSE,0,4,676.533,0
48303,10.6,8.2,336.5929585,81.1,7.3,1.1,2.2,0.1,2.7,35,18.9,85.8,29.1,42.6,111.4,86.5,381.6162054,43.21106203,422.4847142,476.1568729,0.012212683,0.006661463,0.007771707,0.004440976,0.004440976,0.003330732,0.003330732,0.003330732,TRUE,FALSE,1,0,900.703,1
48305,12.1,8.8,6.512181749,85.1,1.5,0.6,0.7,0.1,5.6,47.4,18.9,76.1,18.2,55.7,120.9,82.5,330.2925212,39.73238162,415.0641295,373.1139284,0.008953784,0.003357669,0.003357669,0.002238446,0,0,0,0,TRUE,FALSE,1,1,893.477,0
48307,10,6,7.599467343,83.6,1.8,0,0.2,0,4.8,31.9,16.1,80.1,19,49.3,211.5,81.6,50.3077606,15.22802625,62.36668321,134.3748739,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,1073.434,0
